,country,economy_overview
206,Sierra Leone,"Sierra Leone is extremely poor and nearly half of the working-age population engages in subsistence agriculture. The country possesses substantial mineral, agricultural, and fishery resources, but it is still recovering from a civil war that destroyed most institutions before ending in the early 2000s.In recent years, economic growth has been driven by mining - particularly iron ore. The country’s principal exports are iron ore, diamonds, and rutile, and the economy is vulnerable to fluctuations in international prices. Until 2014, the government had relied on external assistance to support its budget, but it was gradually becoming more independent. The Ebola outbreak of 2014 and 2015, combined with falling global commodities prices, caused a significant contraction of economic activity in all areas. While the World Health Organization declared an end to the Ebola outbreak in Sierra Leone in November 2015, low commodity prices in 2015-2016 contributed to the country’s biggest fiscal shortfall since 2001. In 2017, increased iron ore exports are expected to support modest economic growth. Non-mining activities will remain constrained by inadequate infrastructure, such as power and roads, even though power sector projects may provide some additional electricity capacity in the near term.Continued economic growth will depend on rising commodities prices and increased efforts to diversify the sources of growth. Pervasive corruption and undeveloped human capital will continue to deter foreign investors. Sustained international donor support in the near future will partially offset these fiscal constraints."
207,Singapore,"Singapore has a highly developed and successful free-market economy. It enjoys a remarkably open and corruption-free environment, stable prices, and a per capita GDP higher than that of most developed countries. Unemployment is very low. The economy depends heavily on exports, particularly of consumer electronics, information technology products, medical and optical devices, pharmaceuticals, and on its vibrant transportation, business, and financial services sectors.The economy contracted 0.6% in 2009 as a result of the global financial crisis, but has continued to grow since 2010. Growth in 2014-16 was slower than during the previous decade, at under 3% annually, largely a result of soft demand for exports amid a sluggish global economy and weak growth in Singapore’s manufacturing sector.The government is attempting to restructure Singapore’s economy by weaning its dependence on foreign labor, addressing weak productivity growth, and increasing Singaporean wages. Singapore has attracted major investments in advanced manufacturing, pharmaceuticals, and medical technology production and will continue efforts to strengthen its position as Southeast Asia's leading financial and technology hub. Singapore is a member of the Regional Comprehensive Economic Partnership negotiations with the nine other ASEAN members plus Australia, China, India, Japan, South Korea, and New Zealand. In 2015, Singapore formed, with the other ASEAN members, the ASEAN Economic Community."
208,Sint Maarten,"The economy of Sint Maarten centers around tourism with nearly four-fifths of the labor force engaged in this sector. Nearly 1.8 million visitors came to the island by cruise ship and roughly 500,000 visitors arrived through Princess Juliana International Airport in 2013. Cruise ships and yachts also call on Sint Maarten's numerous ports and harbors. Limited agriculture and local fishing means that almost all food must be imported. Energy resources and manufactured goods are also imported. Sint Maarten had the highest per capita income among the five islands that formerly comprised the Netherlands Antilles."
209,Slovakia,"Slovakia’s economy suffered from a slow start in the first years after its separation from the Czech Republic in 1993, due to the country’s authoritarian leadership and high levels of corruption, but economic reforms implemented after 1998 have placed Slovakia on a path of strong growth. With a population of 5.4 million, the Slovak Republic has a small, open economy driven mainly by automobile and electronics exports, which account for more than 80% of GDP. Slovakia joined the EU in 2004 and the euro zone in 2009. The country’s banking sector is sound and predominantly foreign owned.Slovakia has been a regional FDI champion for several years, attractive due to a relatively low-cost yet skilled labor force, and a favorable geographic location in the heart of Central Europe. Among the most pressing domestic issues potentially threatening the attractiveness of the Slovak market are shortages in qualified labor force, persistent corruption issues, and an inadequate judiciary, as well as a lack of innovation. The energy sector in particular is characterized by unpredictable regulatory oversight and high costs, in part driven by government interference in regulated tariffs."
210,Slovenia,"With excellent infrastructure, a well-educated work force, and a strategic location between the Balkans and Western Europe, Slovenia has one of the highest per capita GDPs in Central Europe, despite having suffered a protracted recession in the 2008-09 period in the wake of the global financial crisis. Slovenia became the first 2004 EU entrant to adopt the euro (on 1 January 2007) and has experienced one of the most stable political transitions in Central and Southeastern Europe.In March 2004, Slovenia became the first transition country to graduate from borrower status to donor partner at the World Bank. In 2007, Slovenia was invited to begin the process for joining the OECD; it became a member in 2012. However, long-delayed privatizations, particularly within Slovenia’s largely state-owned and increasingly indebted banking sector, have fueled investor concerns since 2012 that the country would need EU-IMF financial assistance. In 2013, the European Commission granted Slovenia permission to begin recapitalizing ailing lenders and transferring their nonperforming assets into a “bad bank” established to restore bank balance sheets. From 2014 to 2016, export-led growth, fueled by demand in larger European markets pushed GDP growth to 2.3% per year, while stubbornly high unemployment fell slightly to below 12%.Prime Minister CERAR’s government took office in September 2014, pledging to press ahead with commitments to privatize a select group of state-run companies, rationalize public spending, and further stabilize the banking sector."
211,Solomon Islands,"The bulk of the population depends on agriculture, fishing, and forestry for at least part of its livelihood. Most manufactured goods and petroleum products must be imported. The islands are rich in undeveloped mineral resources such as lead, zinc, nickel, and gold. Prior to the arrival of The Regional Assistance Mission to the Solomon Islands (RAMSI), severe ethnic violence, the closure of key businesses, and an empty government treasury culminated in economic collapse. RAMSI's efforts to restore law and order and economic stability have led to modest growth as the economy rebuilds."
212,Somalia,"Despite the lack of effective national governance, Somalia maintains an informal economy largely based on livestock, remittance/money transfer companies, and telecommunications. Somalia's government lacks the ability to collect domestic revenue and external debt – mostly in arrears – was estimated at 93% of GDP in 2014.Agriculture is the most important sector, with livestock normally accounting for about 40% of GDP and more than 50% of export earnings. Nomads and semi-pastoralists, who are dependent upon livestock for their livelihood, make up a large portion of the population. Economic activity is estimated to have increased by 3.7% in 2016 because of growth in the agriculture, construction and telecommunications sector. Somalia's small industrial sector, based on the processing of agricultural products, has largely been looted and the machinery sold as scrap metal.In recent years, Somalia's capital city, Mogadishu, has witnessed the development of the city's first gas stations, supermarkets, and airline flights to Turkey since the collapse of central authority in 1991. Mogadishu's main market offers a variety of goods from food to electronic gadgets. Hotels continue to operate and are supported with private-security militias. Formalized economic growth has yet to expand outside of Mogadishu and a few regional capitals, and within the city, security concerns dominate business. Telecommunication firms provide wireless services in most major cities and offer the lowest international call rates on the continent. In the absence of a formal banking sector, money transfer/remittance services have sprouted throughout the country, handling up to $1.6 billion in remittances annually, although international concerns over the money transfers into Somalia continues to threaten these services’ ability to operate in Western nations."
213,South Africa,"South Africa is a middle-income emerging market with an abundant supply of natural resources; well-developed financial, legal, communications, energy, and transport sectors; and a stock exchange that is Africa’s largest and among the top 20 in the world.Economic growth has decelerated in recent years, slowing to an estimated 0.3% in 2016. Unemployment, poverty, and inequality - among the highest in the world - remain a challenge. Official unemployment is roughly 26% of the workforce, and runs significantly higher among black youth. Even though the country's modern infrastructure supports a relatively efficient distribution of goods to major urban centers throughout the region, unstable electricity supplies retard growth. Eskom, the state-run power company, is building three new power stations and is installing new power demand management programs to improve power grid reliability; in late 2016 they issued a request for bids to revamp South Africa’s nuclear power generating capabilities. Load shedding and resulting rolling blackouts gripped many parts of South Africa in late 2014 and early 2015 because of electricity supply constraints due to technical problems at some generation units, unavoidable planned maintenance, and an accident at a power station.South Africa's economic policy has focused on controlling inflation; however, the country faces structural constraints that also limit economic growth, such as skills shortages, declining global competitiveness, and frequent work stoppages due to strike action. The government faces growing pressure from urban constituencies to improve the delivery of basic services to low-income areas, to increase job growth, and to provide university level-education at affordable prices. Political infighting among South Africa’s ruling party and the volatility of the rand risks economic growth. International investors are concerned about the country’s long-term economic stability; as of December 2016, most major international credit ratings agencies placed South Africa only one level above junk bond status."
214,Southern Ocean,"Fisheries in 2013-14 landed 302,960 metric tons, of which 96% (291,370 tons-the highest reported catch since 1991) was krill and 4% (11,590 tons) Patagonian toothfish (also known as Chilean sea bass), compared to 15,330 tons in 2012-13 (estimated fishing from the area covered by the Convention of the Conservation of Antarctic Marine Living Resources, which extends slightly beyond the Southern Ocean area). International agreements were adopted in late 1999 to reduce illegal, unreported, and unregulated fishing, which in the 2000-01 season landed, by one estimate, 8,376 metric tons of Patagonian and Antarctic toothfish. In the 2014-15 Antarctic summer, 36,702 tourists visited the Southern Ocean, slightly lower than the 37,405 visitors in 2013-14 (estimates provided to the Antarctic Treaty by the International Association of Antarctica Tour Operators, and does not include passengers on overflights and those flying directly in and out of Antarctica)."
215,South Georgia and South Sandwich Islands,"Some fishing takes place in adjacent waters. Harvesting finfish and krill are potential sources of income. The islands receive income from postage stamps produced in the UK, the sale of fishing licenses, and harbor and landing fees from tourist vessels. Tourism from specialized cruise ships is increasing rapidly."
216,South Sudan,"Following several decades of civil war with Sudan, industry and infrastructure in landlocked South Sudan are severely underdeveloped and poverty is widespread. Subsistence agriculture provides a living for the vast majority of the population. Property rights are insecure and price signals are weak, because markets are not well organized. After independence, South Sudan's central bank issued a new currency, the South Sudanese pound, allowing a short grace period for turning in the old currency.South Sudan has little infrastructure - approximately 200 kilometers of paved roads. Electricity is produced mostly by costly diesel generators, and indoor plumbing and potable water are scarce. South Sudan depends largely on imports of goods, services, and capital - mainly from Uganda, Kenya and Sudan.Nevertheless, South Sudan does have abundant natural resources. At independence in 2011, South Sudan produced nearly three-fourths of former Sudan's total oil output of nearly a half million barrels per day. The Government of South Sudan used to rely on oil for the vast majority of its budget revenues before oil production fell sharply. Oil is exported through a pipeline that runs to refineries and shipping facilities at Port Sudan on the Red Sea. The economy of South Sudan will remain linked to Sudan for some time, given the long lead time and great expense required to build another pipeline, should the government decide to do so. In January 2012, South Sudan suspended production of oil because of its dispute with Sudan over transshipment fees. This suspension lasted 15 months and had a devastating impact on GDP, which declined by 48% in 2012. With the resumption of oil flows the economy rebounded strongly during the second half of calendar year 2013. This occurred in spite of the fact that oil production, at an average level of 222,000 barrels per day, was 40% lower compared with 2011, prior to the shutdown. GDP grew by nearly 30% in 2013. However, the outbreak of conflict in December 2013 combined with a further reduction of oil production and exports, meant that GDP growth fell significantly in 2014 and 2015 as poverty and food insecurity rose. South Sudan holds one of the richest agricultural areas in Africa with fertile soils and abundant water supplies. Currently the region supports 10-20 million head of cattle.South Sudan is currently burdened by considerable debt because of increased military spending and revenue shortfalls due to low oil prices and decreased production. South Sudan has received more than $4 billion in foreign aid since 2005, largely from the UK, the US, Norway, and the Netherlands. Annual inflation peaked at over 800% in October 2016. The government has relied on borrowing from the central bank to fund budget expenses. The decision in December 2015 by the central bank to abandon a fixed exchange rate and allow the South Sudanese Pound to float has not reduced inflation in the short term. Long-term challenges include diversifying the formal economy, alleviating poverty, maintaining macroeconomic stability, improving tax collection and financial management and improving the business environment."
217,Spain,"After experiencing a prolonged recession in the wake of the global financial crisis that began in 2008, in 2016 Spain marked the third full year of positive economic growth in nine years, largely due to increased private consumption. At the onset of the financial crisis, Spain's GDP contracted by 3.7% in 2009, ending a 16-year growth trend, and continued contracting through most of 2013. In that year, the government successfully shored up struggling banks - exposed to the collapse of Spain's depressed real estate and construction sectors - and in January 2014 completed an EU-funded restructuring and recapitalization program for its financial sector.Until 2014, credit contraction in the private sector, fiscal austerity, and high unemployment weighed on domestic consumption and investment. The unemployment rate rose from a low of about 8% in 2007 to more than 26% in 2013, but labor reforms prompted a modest reduction to 19.7% in 2016. High unemployment has strained Spain's public finances, as spending on social benefits increased while tax revenues fell. Spain’s budget deficit peaked at 11.4% of GDP in 2010, but Spain gradually reduced the deficit to about 5% of GDP in 2015, and 4.1% of GDP in 2016. Public debt has increased substantially – from 60.1% of GDP in 2010 to nearly 99.5% in 2016.Exports were resilient throughout the economic downturn and helped to bring Spain's current account into surplus in 2013 for the first time since 1986, where it remained through 2016. Rising labor productivity and an internal devaluation resulting from moderating labor costs and lower inflation have helped to improve foreign investor interest in the economy and positive FDI flows have been restored.Political gridlock after the national elections in December 2015 and June 2016 and ensuing government formation process constrained the caretaker government’s ability to implement needed labor, pension, health care, tax, and education reforms— in 2016. The European Commission criticized Spain’s 2016 budget for easing austerity measures and for its alleged overly optimistic growth and deficit projections. Spain’s borrowing costs are dramatically lower since their peak in mid-2012, and despite the recent uptick in economic activity, inflation has dropped sharply, from 1.5% in 2013 to a negative 0.3% in 2016."
218,Spratly Islands,"Economic activity is limited to commercial fishing. The proximity to nearby oil- and gas-producing sedimentary basins indicate potential oil and gas deposits, but the region is largely unexplored. No reliable estimates of potential reserves are available. Commercial exploitation has yet to be developed."
219,Sri Lanka,"Sri Lanka is attempting to sustain economic growth while maintaining macroeconomic stability under an IMF program. The government's high debt payments and bloated civil service cadre, which have contributed to historically high budget deficits and low tax revenues, remain a concern. Government debt is about 77% of GDP and remains among the highest of the emerging markets.The new government in 2015 drastically increased wages for public sector employees, which boosted demand for consumer goods but hurt the overall balance of payments and reduced foreign exchange reserves.Tourism has experienced strong growth during recent years following the resolution of the government's 26-year conflict with the Liberation Tigers of Tamil Eelam. The government has been pursuing large-scale reconstruction and development projects in its efforts to spur growth."
220,Sudan,"Sudan has experienced protracted social conflict, civil war, and, in July 2011, the loss of three-quarters of its oil production due to the secession of South Sudan. The oil sector had driven much of Sudan's GDP growth since 1999. For nearly a decade, the economy boomed on the back of rising oil production, high oil prices, and significant inflows of foreign direct investment. Since the economic shock of South Sudan's secession, Sudan has struggled to stabilize its economy and make up for the loss of foreign exchange earnings. The interruption of oil production in South Sudan in 2012 for over a year and the consequent loss of oil transit fees further exacerbated the fragile state of Sudan’s economy. Ongoing conflicts in Southern Kordofan, Darfur, and the Blue Nile states, lack of basic infrastructure in large areas, and reliance by much of the population on subsistence agriculture, keep close to half of the population at or below the poverty line.Sudan is also subject to comprehensive US sanctions. Sudan is attempting to develop non-oil sources of revenues, such as gold mining, while carrying out an austerity program to reduce expenditures. The world’s largest exporter of gum Arabic, Sudan produces 75-80% of the world’s total output. Agriculture continues to employ 80% of the work force.Sudan introduced a new currency, still called the Sudanese pound, following South Sudan's secession, but the value of the currency has fallen since its introduction. Khartoum formally devalued the currency in June 2012, when it passed austerity measures that included gradually repealing fuel subsidies. Sudan also faces high inflation, which reached 47% on an annual basis in November 2012 but subsided to about 20% in 2016-17."
221,Suriname,"Suriname’s economy is dominated by the mining industry, with exports of oil and gold accounting for approximately 85% of exports and 27% of government revenues. This makes the economy highly vulnerable to mineral price volatility. The worldwide drop in international commodity prices and the cessation of alumina mining in Suriname significantly reduced government revenue and national income during the past few years. After 99 years of operations, a major US aluminum company recently discontinued its activities in Suriname. Public sector revenues fell, together with exports, international reserves, employment, and private sector investment.Economic growth declined annually from just under 5% in 2012 to -10.4% in 2016. In January 2011, the government devalued the currency by 20% and raised taxes to reduce the budget deficit. Suriname began instituting macro adjustments between September 2015 and 2016; these included another 20% currency devaluation in November 2015 and foreign currency interventions by the Central Bank until March 2016, after which time the Bank allowed the Surinamese dollar (SRD) to float. By December 2016, the SRD had lost 46% of its value against the dollar. High import price pass-through from depreciation and electricity tariff increases caused inflation to increase 55.5% year-over-year in December 2016.Suriname's economic prospects for the medium-term will depend on continued commitment to responsible monetary and fiscal policies and on the introduction of structural reforms to liberalize markets and promote competition. The government's over-reliance on revenue from the extractive sector colors Suriname's economic outlook. One credit bureau forecasted that the economy would contract 2% in 2017. Rising international oil prices and higher production by Suriname’s oil company, Staatsolie’s, will lift oil exports. Two new offshore oil exploration wells will draw 100 million dollars in foreign direct investment inflows. Higher gold prices and increased production from the Merian gold mine also will lift exports. However, investment overall is slowing and unemployment is rising, reflecting government spending cuts, weak business confidence, and the completion of large mining infrastructure projects. Fiscal problems, such as a failure to secure sufficient external financing, could result in additional pressure on the exchange rate and inflation."
222,Svalbard,"Coal mining, tourism, and international research are Svalbard's major industries. Coal mining has historically been the dominant economic activity, and the Treaty of 9 February 1920 gives the 45 countries that so far have ratified the treaty equal rights to exploit mineral deposits, subject to Norwegian regulation. Although US, UK, Dutch, and Swedish coal companies have mined in the past, the only companies still engaging in this are Norwegian and Russian. Low coal prices have forced the Norwegian coal company, Store Norske Spitsbergen Kulkompani, to close one of its two mines and to considerably reduce the activity of the other. Since the 1990s, the tourism and hospitality industry has grown rapidly, and Svalbard now receives 60,000 visitors annually.The settlements on Svalbard were established as company towns, and at their height in the 1950s, the Norwegian state-owned coal company supported nearly 1,000 jobs. Today, only about 300 people work in the mining industry.Goods such as alcohol, tobacco, and vehicles, normally highly taxed on mainland Norway, are considerably cheaper in Svalbard in an effort by the Norwegian government to entice more people to live on the Arctic archipelago. By law, Norway collects only enough taxes to pay for the needs of the local government; none of tax proceeds go to the central government."
223,Swaziland,"A small, landlocked kingdom, Swaziland is bordered in the north, west and south by the Republic of South Africa and by Mozambique in the east. Swaziland depends on South Africa for 60% of its exports and for more than 90% of its imports. Swaziland's currency is pegged to the South African rand, effectively relinquishing Swaziland's monetary policy to South Africa. The government is dependent on customs duties from the Southern African Customs Union (SACU) for 49% of revenue; income tax accounts for 27% and a valued added tax for 19% of revenues. Swaziland is a lower middle income country, but its income distribution is highly skewed, with an estimated 20% of the population controlling 80% of the nation’s wealth. As of 2017, more than one-quarter of the adult population was infected by HIV/AIDS; Swaziland has the world’s highest HIV prevalence rate.Subsistence agriculture employs approximately 70% of the population. The manufacturing sector diversified in the 1980s and 1990s, but manufacturing has grown little in the last decade. Sugar and soft drink concentrate are the largest foreign exchange earners. Mining has declined in importance in recent years. Coal, gold, diamond, and quarry stone mines are small scale, and the only iron ore mine closed in 2014.With an estimated 28% unemployment rate, Swaziland's need to increase the number and size of small and medium enterprises and to attract foreign direct investment is acute. On 1 January 2015, Swaziland lost its eligibility for benefits under the US African Growth and Opportunity Act after failing to meet benchmarks relating to workers’ rights.The IMF forecasted that Swaziland’s economy will grow at a slower pace in 2017 because of a region-wide drought, which is likely to hurt Swaziland’s revenue from sugar exports and other agricultural products; tourism and transport sectors will also decline. Overgrazing, soil depletion, drought, and floods are persistent problems. Swaziland’s revenue from SACU receipts also are projected to decline in 2017, making it harder for the government to maintain fiscal balance."
224,Sweden,"Sweden has achieved an enviable standard of living with its combination of free-market capitalism and extensive welfare benefits. Sweden remains outside the euro zone largely out of concern that joining the European Economic and Monetary Union would diminish the country’s sovereignty over its welfare system. Timber, hydropower, and iron ore constitute the resource base of an economy heavily oriented toward foreign trade.Sweden’s economy experienced modest growth in 2014-16, with real GDP growth above 2%, but continues to struggle with deflationary pressure."
225,Switzerland,"Switzerland, a country that espouses neutrality, is a prosperous and modern market economy with low unemployment, a highly skilled labor force, and a per capita GDP among the highest in the world. Switzerland's economy benefits from a highly developed service sector, led by financial services, and a manufacturing industry that specializes in high-technology, knowledge-based production. Its economic and political stability, transparent legal system, exceptional infrastructure, efficient capital markets, and low corporate tax rates also make Switzerland one of the world's most competitive economies.The Swiss have brought their economic practices largely into conformity with the EU's to enhance their international competitiveness, but some trade protectionism remains, particularly for its small agricultural sector. The fate of the Swiss economy is tightly linked to that of its neighbors in the euro zone, which purchases half of Swiss exports. The global financial crisis of 2008 and resulting economic downturn in 2009 stalled demand for Swiss exports and put Switzerland into a recession. During this period, the Swiss National Bank (SNB) implemented a zero-interest rate policy to boost the economy, as well as to prevent appreciation of the franc, and Switzerland's economy began to recover in 2010.The sovereign debt crises unfolding in neighboring euro-zone countries, however, coupled with ongoing economic instability in Russia and other eastern European economies continue to pose a significant risk to the Swiss economy, driving up demand for the Swiss franc by investors seeking a safe-haven currency. In January 2015, the SNB abandoned the Swiss franc’s peg to the euro, roiling global currency markets and making active SNB intervention a necessary hallmark of present-day Swiss monetary policy. The independent SNB has upheld its zero interest rate policy and conducted major market interventions to prevent further appreciation of the Swiss franc, but parliamentarians have urged it to do more to weaken the currency. The franc's strength has made Swiss exports less competitive and weakened the country's growth outlook; GDP growth fell below 2% per year from 2011-16.In recent years, Switzerland has responded to increasing pressure from neighboring countries and trading partners to reform its banking secrecy laws, by agreeing to conform to OECD regulations on administrative assistance in tax matters, including tax evasion. The Swiss government has also renegotiated its double taxation agreements with numerous countries, including the US, to incorporate OECD standards, and is openly considering the possibility of imposing taxes on bank deposits held by foreigners."
226,Syria,"Syria's economy continues to deteriorate amid the ongoing conflict that began in 2011, declining by more than 70% from 2010 to 2016. The government has struggled to address the effects of international sanctions, widespread infrastructure damage, diminished domestic consumption and production, reduced subsidies, and high inflation, which have caused dwindling foreign exchange reserves, rising budget and trade deficits, a decreasing value of the Syrian pound, and falling household purchasing power.During 2014, the ongoing conflict and continued unrest and economic decline worsened the humanitarian crisis and elicited a greater need for international assistance, as the number of people in need inside Syria increased from 9.3 million to 12.2 million, and the number of Syrian refugees increased from 2.2 million to more than 3.3 million.Prior to the turmoil, Damascus had begun liberalizing economic policies, including cutting lending interest rates, opening private banks, consolidating multiple exchange rates, raising prices on some subsidized items, and establishing the Damascus Stock Exchange, but the economy remains highly regulated. Long-run economic constraints include foreign trade barriers, declining oil production, high unemployment, rising budget deficits, increasing pressure on water supplies caused by heavy use in agriculture, rapid population growth, industrial expansion, water pollution, and widespread infrastructure damage."
227,Taiwan,"Taiwan has a dynamic capitalist economy that is driven largely by industrial manufacturing, and especially exports of electronics, machinery, and petrochemicals. This heavy dependence on exports exposes the economy to fluctuations in global demand. Taiwan's diplomatic isolation, low birth rate, rapidly aging population, and increasing competition from China and other Asia Pacific markets are other major long-term challenges.Following the landmark Economic Cooperation Framework Agreement (ECFA) signed with China in June 2010, Taiwan in July 2013 signed a free trade deal with New Zealand - Taipei’s first-ever with a country with which it does not maintain diplomatic relations - and, in November of that year, inked a trade pact with Singapore. However, follow-on components of the ECFA, including a signed agreement on trade in services and negotiations on trade in goods and dispute resolution, have stalled. In early 2014, the government bowed to public demand and proposed a new law governing the oversight of cross-Strait agreements, before any additional deals with China are implemented; the legislature has yet to vote on such legislation, leaving the future of ECFA uncertain. President TSAI since taking office in May 2016 has promoted greater economic integration with South and Southeast Asia through the New Southbound Policy initiative and has also expressed interest in Taiwan joining the Trans-Pacific Partnership as well as bilateral trade deals with partners such as the US.Taiwan's total fertility rate of just over one child per woman is among the lowest in the world, raising the prospect of future labor shortages, falling domestic demand, and declining tax revenues. Taiwan's population is aging quickly, with the number of people over 65 expected to account for nearly 20% of the island's total population by 2025.The island runs a trade surplus with many economies, including China and the US, and its foreign reserves are the world's fifth largest, behind those of China, Japan, Saudi Arabia, and Switzerland. In 2006, China overtook the US to become Taiwan's second-largest source of imports after Japan. China is also the island's number one destination for foreign direct investment. Taiwan since 2009 has gradually loosened rules governing Chinese investment and has also secured greater market access for its investors on the mainland. In August 2012, the Taiwan Central Bank signed a memorandum of understanding (MOU) on cross-Strait currency settlement with its Chinese counterpart. The MOU allows for the direct settlement of Chinese renminbi (RMB) and the New Taiwan dollar across the Strait, which has helped Taiwan develop into a local RMB hub.Closer economic links with the mainland bring opportunities for Taiwan’s economy but also pose challenges as political differences remain unresolved and China’s economic growth is slowing. Domestic economic issues loomed large in public debate ahead of the January 2016 presidential and legislative elections, including concerns about stagnant wages, high housing prices, youth unemployment, job security, and financial security in retirement."
228,Tajikistan,"Tajikistan is a poor, mountainous country with an economy dominated by minerals extraction, metals processing, agriculture, and reliance on remittances from citizens working abroad. The 1992-97 civil war severely damaged an already weak economic infrastructure and caused a sharp decline in industrial and agricultural production. Today, Tajikistan has one of the lowest per capita GDPs among the 15 former Soviet republics. Less than 7% of the land area is arable and cotton is the most important crop. Tajikistan imports approximately 70% of its food. Mineral resources include silver, gold, uranium, antimony, and tungsten. Industry consists mainly of small obsolete factories in food processing and light industry, substantial hydropower facilities, and a large aluminum plant - currently operating well below its capacity.Because of a lack of employment opportunities in Tajikistan, more than one million Tajik citizens work abroad - roughly 90% in Russia - supporting families back home through remittances that in 2014 were equivalent to nearly 50% of GDP. Some experts estimate the value of narcotics transiting Tajikistan is equivalent to 30%-50% of GDP.Since the end of the civil war, the country has pursued half-hearted reforms and privatizations in the economic sphere, but the poor business climate remains a hurdle to attracting foreign investment. Tajikistan has sought to develop its substantial hydroelectricity potential through partnership with Russian and Iranian investors, and is pursuing completion of the Roghun dam - which, if built according to plan, would be the tallest dam in the world. However, the project is a sensitive issue for downstream neighbors and faces large financing shortfalls. In 2016, Tajikistan officially contracted with Italian firm Salini Impregilo to construct the dam over a 13-year period for $3.9 billion.Recent slowdowns in the Russian and Chinese economies, low commodity prices, and currency fluctuations are hampering economic growth in Tajikistan. By some estimates, the dollar value of remittances from Russia to Tajikistan dropped by more than 65% in 2015. The government faces challenges financing the public debt, which is equivalent to 35% of GDP, and the National Bank of Tajikistan has aggressively spent its reserves to bolster the weakening somoni, leaving little space for fiscal or monetary measures to counter any additional economic shocks."
229,Tanzania,"Tanzania is one of the world's poorest economies in terms of per capita income, but has achieved high growth rates based on its vast natural resource wealth and tourism. GDP growth in 2009-16 averaged 6%-7% per year. Dar es Salaam used fiscal stimulus measures and easier monetary policies to lessen the impact of the global recession. Tanzania has largely completed its transition to a market economy, though the government retains a presence in sectors such as telecommunications, banking, energy, and mining.The economy depends on agriculture, which accounts for more than one-quarter of GDP, provides 85% of exports, and employs about 65% of the work force. All land in Tanzania is owned by the government, which can lease land for up to 99 years. Proposed reforms to allow for land ownership, particularly foreign land ownership, remain unpopular.The financial sector in Tanzania has expanded in recent years and foreign-owned banks account for about 48% of the banking industry's total assets. Competition among foreign commercial banks has resulted in significant improvements in the efficiency and quality of financial services, though interest rates are still relatively high, reflecting high fraud risk. Recent banking reforms have helped increase private-sector growth and investment.The World Bank, the IMF, and bilateral donors have provided funds to rehabilitate Tanzania's aging infrastructure, including rail and port, which provide important trade links for inland countries. In 2013, Tanzania completed the world's largest Millennium Challenge Compact (MCC) grant, worth $698 million, but in late 2015, the MCC Board of Directors deferred a decision to renew Tanzania’s eligibility because of irregularities in voting in Zanzibar and concerns over the governments use of a controversial cybercrime bill.Under the new government elected in 2015, Tanzania has developed an ambitious development agenda focused on creating a better business environment through improved infrastructure, access to financing, and education progress, but implementing budgets remains challenging for the government."
230,Thailand,"With a relatively well-developed infrastructure, a free-enterprise economy, and generally pro-investment policies, Thailand is highly dependent on international trade, with exports accounting for about two-thirds of GDP. Thailand’s exports include electronics, agricultural commodities, automobiles and parts, and processed foods. The industry and service sectors produce about 90% of GDP. The agricultural sector, comprised mostly of small-scale farms, contributes only 10% of GDP but employs about one-third of the labor force. Thailand has attracted an estimated 3.0-4.5 million migrant workers, mostly from neighboring countries.Over the last few decades, Thailand has sustained strong growth and has reduced poverty substantially. In 2013, the Thai Government implemented a nationwide 300 baht (roughly $10) per day minimum wage policy and deployed new tax reforms designed to lower rates on middle-income earners.Growth has slowed in the last few years, however, due to domestic political turmoil and sluggish global demand. Nevertheless, Thailand’s economic fundamentals are sound, with low inflation, low unemployment, and reasonable public and external debt levels. Tourism and government spending - mostly on infrastructure and short-term stimulus measures – have helped to boost the economy, and The Bank of Thailand has been supportive, with several interest rate reductions.Over the longer-term, Thailand faces labor shortages, and domestic debt levels, political uncertainty, and an aging population pose risks to growth."
231,Timor-Leste,"Since independence in 1999, Timor-Leste has faced great challenges in rebuilding its infrastructure, strengthening the civil administration, and generating jobs for young people entering the work force. The development of offshore oil and gas resources has greatly supplemented government revenues. This technology-intensive industry, however, has done little to create jobs in part because there are no production facilities in Timor-Leste. Gas is currently piped to Australia for processing, but Timor-Leste has expressed interest in developing a domestic processing capacity.In June 2005, the National Parliament unanimously approved the creation of the Timor-Leste Petroleum Fund to serve as a repository for all petroleum revenues and to preserve the value of Timor-Leste's petroleum wealth for future generations. The Fund held assets of $16 billion, as of mid-2016. Oil accounts for over 90% of government revenues, and the drop in the price of oil in 2014-16 has led to concerns about the long-term sustainability of government spending. Timor-Leste compensated for the decline in price by exporting more oil. The Ministry of Finance maintains that the Petroleum Fund is sufficient to sustain government operations for the foreseeable future.Annual government budget expenditures increased markedly between 2009 and 2012 but dropped significantly through 2016. Historically, the government failed to spend as much as its budget allowed. The government has focused significant resources on basic infrastructure, including electricity and roads, but limited experience in procurement and infrastructure building has hampered these projects. The underlying economic policy challenge the country faces remains how best to use oil-and-gas wealth to lift the non-oil economy onto a higher growth path and to reduce poverty."
